Semester,Campus,CRN,Course,Section #,Capacity,Enrollment,Faculty,Faculty IDs
Fall 2020,Boston,15377,CS 3650,4,88,67,"Jackson, Alden",344
Fall 2020,Online,10280,CS 2501,1,55,35,"Ahmed, Amal",12
Fall 2020,Online,12343,CS 1200,7,40,39,"Shirak, Dawn",696
Fall 2020,Online,12344,CS 1200,8,40,38,"Shirak, Dawn",696
Fall 2020,Boston,11349,HINF 5101,1,75,18,"Kennedy, Mary",384
Fall 2020,Boston,16484,CS 4700,1,14,3,"Choffnes, David",131
Fall 2020,Online,13443,CS 1210,8,19,11,"Kent Yates, Aileen",385
Fall 2020,Online,13444,CS 1210,9,38,36,"Shire, Jennifer",697
Fall 2020,Online,13445,CS 2501,13,97,74,"Lerner, Ben",427
Fall 2020,Boston,13447,CS 3200,2,87,87,"Derbinsky, Nate",177
Fall 2020,Boston,13448,CS 3500,3,87,84,"Mihajlovikj, Vidoje",500
Fall 2020,Boston,13449,CS 3650,3,88,65,"Tuck, Nathaniel",784
Fall 2020,Boston,11406,CS 6140,1,87,50,"Radivojac, Predrag",603
Fall 2020,Online,12439,CS 2511,3,46,46,"Razzaq, Leena",620
Fall 2020,Online,12440,CS 1200,9,40,37,"Wassinger, Claire",834
Fall 2020,Online,13478,CS 5003,1,35,31,"Bagley, Keith",49
Fall 2020,Boston,13479,CS 6120,1,50,48,"Smith, David",719
Fall 2020,Online,10409,IS 2000,1,48,43,"Schedlbauer, Martin",663
Fall 2020,Boston,10415,CS 4500,1,49,44,"Felleisen, Matthias",227
Fall 2020,Boston,10416,CS 3200,1,87,78,"Annunziato, Jose",34
Fall 2020,Boston,10417,CS 3800,1,49,49,"Riedewald, Mirek",628
Fall 2020,Boston,17585,CY 5770,2,45,44,"Kirda, Engin",391
Fall 2020,Boston,14893,CS 7610,1,46,29,"Nita-Rotaru, Cristina",547
Fall 2020,Boston,17584,HINF 5407,1,24,1,"Johnson, Craig",362
Fall 2020,Boston,17589,IS 1300,1,20,19,"Fallis, Don",219
Fall 2020,Boston,10421,CS 3500,2,87,87,"Razzaq, Leena",620
Fall 2020,Boston,17586,CY 6740,2,34,5,"Robertson, William",633
Fall 2020,Boston,17588,CY 2550,1,87,87,"Cohen, Ran, Shelat, Abhi","141, 688"
Fall 2020,Boston,10425,CS 3500,1,87,91,"Shesh, Amit",693
Fall 2020,Online,10427,CS 1200,3,40,38,"Speece, Jessica",730
Fall 2020,Online,10428,CS 1200,2,40,39,"Kulkarni, Prajna",406
Fall 2020,Boston,10430,CS 2500,2,112,110,"Lerner, Ben",427
Fall 2020,Boston,10431,CS 2500,1,110,80,"Ahmed, Amal, Lerner, Ben","12, 427"
Fall 2020,Online,10432,CS 1800,2,999,606,"Hescott, Ben",319
Fall 2020,Online,10433,CS 1800,1,133,97,"Pavlu, Virgil",585
Fall 2020,Boston,16582,DS 2001,10,17,17,"Strange, Laney",742
Fall 2020,Boston,16584,DS 2001,11,23,21,"Almeida, Lucas",20
Fall 2020,Boston,16585,DS 3000,2,49,72,"Yildirim, Caglar",873
Fall 2020,Boston,11473,HINF 6220,2,50,15,"Feinberg, Daniel",225
Fall 2020,Online,11474,HINF 0200,2,25,4,"Kennedy, Mary, Spitulnik, Jay","384, 733"
Fall 2020,Online,11475,HINF 5101,2,40,24,"Turner, Catherine",785
Fall 2020,Boston,13557,CS 4120,1,32,30,"Muzny, Felix",533
Fall 2020,Boston,12563,HINF 6205,2,19,4,"Ries, Dan",630
Fall 2020,Online,12589,CS 1200,10,40,38,"Wassinger, Claire",834
Fall 2020,Boston,12591,CS 3650,1,49,46,"Tuck, Nathaniel",784
Fall 2020,Boston,12592,CS 3700,1,87,86,"Wilson, Christo",844
Fall 2020,Boston,17731,DS 2000,2,114,110,"Rachlin, John",601
Fall 2020,Boston,17733,DS 2000,1,146,127,"Rachlin, John",601
Fall 2020,Boston,17736,DS 2001,13,18,18,"Garvey, Myles",254
Fall 2020,Boston,17737,DS 2001,14,18,17,"Muzny, Felix",533
Fall 2020,Online,17745,CS 1210,15,38,33,"Meyers, Amber",495
Fall 2020,Boston,17749,CS 2810,1,48,45,"Higger, Matt",320
Fall 2020,Boston,17751,CS 3200,4,49,41,"Gatterbauer, Wolfgang",257
Fall 2020,Boston,17752,CS 3650,6,49,48,"Jackson, Alden",344
Fall 2020,Boston,17753,CS 3700,3,87,84,"Mislove, Alan",510
Fall 2020,Boston,17754,CS 4100,2,49,35,"Amato, Chris",26
Fall 2020,Boston,17755,CS 4200,1,39,4,"Miller, Renee",504
Fall 2020,Boston,17757,CS 4530,1,39,39,"Tip, Frank",769
Fall 2020,Boston,17758,CS 4610,1,15,14,"Tuck, Nathaniel",784
Fall 2020,Boston,17759,CS 5010,7,66,41,"Freifeld, Clark",241
Fall 2020,Boston,17760,CS 5335,1,34,15,"Tuck, Nathaniel",784
Fall 2020,Boston,17761,CS 5340,4,55,45,"Yildirim, Caglar",873
Fall 2020,Boston,17762,CS 5400,2,17,7,"Barzilay, Eli",58
Fall 2020,Boston,17764,CS 7295,1,19,8,"Borkin, Michelle",91
Fall 2020,Boston,17765,CS 7480,1,10,4,"Boyland, John",92
Fall 2020,Boston,11615,CS 4300,1,38,35,"Annunziato, Jose",34
Fall 2020,Boston,12644,CS 5200,2,87,72,"Durant, Kathleen",195
Fall 2020,Online,10600,CS 2501,2,55,45,"Ahmed, Amal",12
Fall 2020,Online,10601,CS 2501,3,101,83,"Lerner, Ben",427
Fall 2020,Boston,10603,CS 4400,1,87,47,"Vesely, Ferdinand",807
Fall 2020,Boston,11621,CS 5500,1,45,42,"Shah, Mike",678
Fall 2020,Boston,12660,CS 2510,2,114,77,"Razzaq, Leena",620
Fall 2020,Online,12661,CS 2511,4,46,41,"Razzaq, Leena",620
Fall 2020,Online,11649,CS 2511,1,46,30,"Razzaq, Leena",620
Fall 2020,Online,11650,CS 2501,5,101,101,"Lerner, Ben",427
Fall 2020,Online,12676,CS 2501,9,135,118,"Lerner, Ben",427
Fall 2020,Online,12680,CS 1200,11,40,39,"Goldblum, Jacob",276
Fall 2020,Online,12681,CS 1210,3,38,33,"Bishnoi, Priyanka",79
Fall 2020,Boston,15756,CS 5180,1,44,40,"Wong, Lawson",850
Fall 2020,Boston,15765,CY 5130,1,10,10,"Lu, Long",447
Fall 2020,Boston,13729,HINF 6400,1,21,6,"Jimison, Holly",359
Fall 2020,Online,12708,HINF 5102,2,40,24,"Bartolotta, Jim",57
Fall 2020,Boston,11685,CS 6240,1,60,53,"Riedewald, Mirek",628
Fall 2020,Boston,15787,CS 1101,1,23,22,"Mihajlovikj, Vidoje",500
Fall 2020,Boston,15789,CS 1101,2,17,16,"Amor-Tijani, Ghita",29
Fall 2020,Boston,15790,CS 1101,3,17,17,"Durant, Kathleen",195
Fall 2020,Boston,15791,CS 1101,4,23,23,"Amor-Tijani, Ghita",29
Fall 2020,Boston,15792,CS 1101,5,17,16,"Mihajlovikj, Vidoje",500
Fall 2020,Boston,15793,CS 1101,6,23,23,"Amor-Tijani, Ghita",29
Fall 2020,Boston,15794,CS 1101,7,17,17,"Amor-Tijani, Ghita",29
Fall 2020,Boston,15797,CS 1101,8,17,17,"Durant, Kathleen",195
Fall 2020,Boston,15799,CS 1101,10,17,17,"Mihajlovikj, Vidoje",500
Fall 2020,Boston,15801,CS 1101,11,17,17,"Amor-Tijani, Ghita",29
Fall 2020,Online,10682,CS 2801,1,35,33,"Hemann, Jason, Trypakis, Stavros","318, 782"
Fall 2020,Boston,15803,CS 1101,12,17,17,"Amor-Tijani, Ghita",29
Fall 2020,Boston,15804,CS 1101,13,17,17,"Durant, Kathleen",195
Fall 2020,Online,15817,CS 1210,12,38,32,"McDonough, Brianne",484
Fall 2020,Online,15820,CS 2511,5,46,26,"Razzaq, Leena",620
Fall 2020,Boston,15821,CS 3500,5,49,49,"Mihajlovikj, Vidoje",500
Fall 2020,Boston,15822,CS 3950,1,39,22,"Ranganathan, Aanjhan",612
Fall 2020,Boston,15823,CS 4950,1,19,6,"Wahl, Thomas",819
Fall 2020,Boston,15824,CS 4950,2,19,2,"Ranganathan, Aanjhan",612
Fall 2020,Boston,15825,CY 3740,1,10,12,"Lu, Long",447
Fall 2020,Boston,15826,CY 4740,1,15,9,"Robertson, William",633
Fall 2020,Boston,15827,DS 2001,5,12,12,"Strange, Laney",742
Fall 2020,Boston,11732,CS 5100,1,87,74,"Platt, Rob",593
Fall 2020,Boston,15828,DS 2001,6,23,22,"Garvey, Myles",254
Fall 2020,Boston,15830,DS 2001,8,23,22,"Garvey, Myles",254
Fall 2020,Boston,15832,DS 4200,1,49,49,"Dunne, Cody",668
Fall 2020,Boston,15833,IS 4200,1,4,1,"Amor-Tijani, Ghita",29
Fall 2020,Online,10711,CS 5011,4,26,14,"Freifeld, Clark",241
Fall 2020,Boston,14809,CS 3200,3,87,87,"Rachlin, John",601
Fall 2020,Boston,14810,CS 3700,2,87,46,"Jackson, Alden",344
Fall 2020,Boston,14811,CS 4400,2,70,53,"Barzilay, Eli",58
Fall 2020,Online,14812,CS 3000,1,999,331,"Rajaraman, Rajmohan",607
Fall 2020,Boston,14817,DS 2001,1,16,11,"Intille, Stephen",340
Fall 2020,Boston,14818,DS 2001,2,23,23,"Strange, Laney",742
Fall 2020,Boston,14819,DS 2001,3,17,17,"Garvey, Myles",254
Fall 2020,Boston,14820,DS 2001,4,23,23,"Cocola, Jorio",140
Fall 2020,Boston,10727,HINF 6201,1,25,10,"Robbins, Shari",631
Fall 2020,Boston,17897,CY 6720,1,40,21,"Mirzaei, Omid",507
Fall 2020,Boston,17900,CS 1802,37,35,27,"Strange, Laney",742
Fall 2020,Boston,17901,CS 1802,38,35,31,"Nunez, Lucia",552
Fall 2020,Boston,17902,CS 1802,39,35,33,"Nunez, Lucia",552
Fall 2020,Online,11759,HINF 6205,1,35,11,"Ries, Dan",630
Fall 2020,Online,14848,HINF 6405,1,40,7,"Powell, Adam",595
Fall 2020,Boston,14849,HINF 6202,1,19,6,"Maloney, Marie",465
Fall 2020,Boston,14863,DS 5500,1,65,34,"Bemis, Kylie",66
Fall 2020,Online,14869,CS 2501,15,97,61,"Lerner, Ben",427
Fall 2020,Online,13858,DA 5020,1,59,43,"Clachar, Sophine",134
Fall 2020,Boston,13860,DS 5220,1,65,52,"Elhamifar, Ehsan",209
Fall 2020,Boston,13867,CS 1802,1,35,23,"Pavlu, Virgil",585
Fall 2020,Boston,13868,CS 1802,2,35,25,"Pavlu, Virgil",585
Fall 2020,Boston,13869,CS 1802,3,35,26,"Pavlu, Virgil",585
Fall 2020,Boston,13870,CS 1802,4,35,22,"Pavlu, Virgil",585
Fall 2020,Boston,13871,CS 1802,5,35,35,"Park, John",576
Fall 2020,Boston,13872,CS 1802,6,35,35,"Park, John",576
Fall 2020,Online,13873,CS 1802,7,100,21,"Stalfa, David",739
Fall 2020,Boston,13874,CS 1802,8,35,36,"Nunez, Lucia",552
Fall 2020,Boston,13875,CS 1802,9,35,35,"Park, John",576
Fall 2020,Boston,13876,CS 1802,10,35,35,"Strange, Laney",742
Fall 2020,Boston,13877,CS 1802,11,35,35,"Nunez, Lucia",552
Fall 2020,Boston,13878,CS 1802,12,35,35,"Nunez, Lucia",552
Fall 2020,Boston,13879,CS 1802,13,35,35,"Wahl, Thomas",819
Fall 2020,Boston,13881,CS 1802,15,35,37,"Strange, Laney",742
Fall 2020,Boston,13884,CS 1802,16,35,32,"Park, John",576
Fall 2020,Boston,13885,CS 1802,17,35,35,"Wahl, Thomas",819
